Date,Open,High,Low,Close,Adj Close,Volume
2022-07-27,463.000000,475.899994,460.850006,473.000000,468.270020,1515541
2022-07-28,475.500000,477.799988,468.250000,474.000000,469.260010,876263
2022-07-29,474.500000,480.299988,470.000000,472.200012,467.478027,812380
2022-08-01,472.200012,479.000000,469.049988,472.649994,467.923492,577553
2022-08-02,472.649994,476.299988,464.100006,470.700012,465.993011,490975
2022-08-03,472.000000,474.000000,458.100006,465.950012,461.290527,575760
2022-08-04,465.950012,479.149994,463.049988,470.250000,465.547516,2142821
2022-08-05,468.600006,476.799988,468.200012,471.600006,466.884003,649320
2022-08-08,470.000000,473.750000,465.250000,469.549988,464.854492,416284
2022-08-10,469.000000,471.000000,461.100006,464.750000,460.102509,472235
2022-08-11,467.000000,479.899994,466.700012,474.600006,469.854004,1254234
2022-08-12,477.000000,486.149994,474.049988,477.200012,472.428009,1113629
2022-08-16,482.399994,500.950012,481.450012,486.299988,481.436981,2886900
2022-08-17,488.399994,494.149994,480.149994,481.450012,476.635529,1026508
2022-08-18,481.600006,488.799988,477.600006,479.549988,474.754486,687377
2022-08-19,482.000000,493.000000,479.899994,485.950012,481.090515,2385192
2022-08-22,488.200012,504.899994,482.450012,500.000000,495.000000,4019224
2022-08-23,494.899994,501.350006,484.000000,485.850006,485.850006,1892866
2022-08-24,488.399994,515.450012,487.250000,511.450012,511.450012,4571571
